id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1281521583928967168,1281453155075555328,1594373529000,2020-07-10,15:02:09,+0530,2793168210,drmncrald,AMITABHA,,Prayagraj Division is in communication with all Zonal ETCs regarding training schedule for alloted 1669 ALPs panel. Candidates will be called as per training schedule and COVID-19 Protocol earliest,"['mdimran38741366', 'sahilpa47071837', 'vishala68032649', 'shivagopalmish1', 'ir_crb', 'railminindia', 'v_k_yadava', 'nitin_gadkari', 'nitiaayog', 'piyushgoyal', 'ombirlakota', 'ndtv', 'narendramodi']",[],[],0,0,0,[],[],https://twitter.com/drmncrald/status/1281521583928967168,False,,0,,,,,,,"[{'user_id': '2793168210', 'username': 'drmncrald'}, {'user_id': '1251510381727453184', 'username': 'Mdimran38741366'}, {'user_id': '1269896253648728065', 'username': 'sahilpa47071837'}, {'user_id': '1010418175257669632', 'username': 'VishalA68032649'}, {'user_id': '1003634182591922177', 'username': 'ShivaGopalMish1'}, {'user_id': '3269807298', 'username': 'IR_CRB'}, {'user_id': '2602959463', 'username': 'RailMinIndia'}, {'user_id': '1175787433444573184', 'username': 'v_k_yadava'}, {'user_id': '97217966', 'username': 'nitin_gadkari'}, {'user_id': '1244137812', 'username': 'NITIAayog'}, {'user_id': '1324334436', 'username': 'PiyushGoyal'}, {'user_id': '190351028', 'username': 'ombirlakota'}, {'user_id': '37034483', 'username': 'ndtv'}, {'user_id': '18839785', 'username': 'narendramodi'}]",,,,
1281521578866405376,1281521578866405376,1594373528000,2020-07-10,15:02:08,+0530,938533034659168256,openletterbot,Open Letters,,"🖋 Sign “Stop Trump’s efforts to withdraw the US from the WHO” and I’ll deliver a copy to your officials:  https://twitter.com/messages/compose?recipient_id=835740314006511618&text=sign%20SJRMOH …
📨 No. 62 is from Treasure to @cindyhydesmith, @BennieGThompson and @SenatorWicker #MS02 #MSpolitics #COVID19  pic.twitter.com/0rXLM6xP1k","['cindyhydesmith', 'benniegthompson', 'senatorwicker']",['https://twitter.com/messages/compose?recipient_id=835740314006511618&text=sign%20SJRMOH'],['https://pbs.twimg.com/media/EcjhFR1UYAAnRFw.png'],0,0,0,"['#ms02', '#mspolitics', '#covid19']",[],https://twitter.com/openletterbot/status/1281521578866405376,False,,0,,,,,,,"[{'user_id': '938533034659168256', 'username': 'openletterbot'}, {'user_id': '262192574', 'username': 'cindyhydesmith'}, {'user_id': '82453460', 'username': 'BennieGThompson'}, {'user_id': '264219447', 'username': 'SenatorWicker'}]",,,,
1281521573854412800,1281521573854412800,1594373527000,2020-07-10,15:02:07,+0530,787039223958364165,elinorannie,Annie NB,,"Good news that the UK and Italy will be working with Cambodia to promote a green recovery from #COVID19, in the run up to the UK's #COP26 Presidency next year — https://twitter.com/ukincambodia/status/1281163852231540737 …",[],['https://twitter.com/ukincambodia/status/1281163852231540737'],[],0,0,0,"['#covid19', '#cop26']",[],https://twitter.com/Elinorannie/status/1281521573854412800,False,https://twitter.com/ukincambodia/status/1281163852231540737,0,,,,,,,"[{'user_id': '787039223958364165', 'username': 'Elinorannie'}]",,,,
1281521572055064576,1281521572055064576,1594373526000,2020-07-10,15:02:06,+0530,3102273850,yadafty,Rab McGlinchy,,#economy #COVID19 #coronavirusuk #coronavirus It’s good to see the Chancellor has a good grasp of the economy. pic.twitter.com/croborFbtN,[],[],['https://pbs.twimg.com/media/EcjhEfhWoAA1_eS.jpg'],0,0,0,"['#economy', '#covid19', '#coronavirusuk', '#coronavirus']",[],https://twitter.com/YaDafty/status/1281521572055064576,False,,0,,,,,,,"[{'user_id': '3102273850', 'username': 'YaDafty'}]",,,,
1281521570435883009,1281521570435883009,1594373526000,2020-07-10,15:02:06,+0530,2415834662,michikarina,michikarina,,Avigan's effectiveness inconclusive in Japan COVID-19 trial | The Japan Times   https://www.japantimes.co.jp/news/2020/07/10/national/science-health/avigans-effectiveness-inconclusive-japan-covid-19-trial/ …,[],['https://www.japantimes.co.jp/news/2020/07/10/national/science-health/avigans-effectiveness-inconclusive-japan-covid-19-trial/'],[],0,0,0,[],[],https://twitter.com/michikarina/status/1281521570435883009,False,,0,,,,,,,"[{'user_id': '2415834662', 'username': 'michikarina'}]",,,,
1281521570113114112,1281521570113114112,1594373526000,2020-07-10,15:02:06,+0530,887342972928270336,sdmviramgam,Assistant Collector & SDM Viramgam,,"Today took review meeting with Health team,NagarPalika team,police and mamlatdar team regarding Covid 19 situation at Viramgam.
@CollectorAhd @AhmedabadRac @pkumarias @CMOGuj @ahmedabad_info @PS_HFWD_GUJ @DDOAHMEDABAD1 pic.twitter.com/FJ2dt0EgEn","['collectorahd', 'ahmedabadrac', 'pkumarias', 'cmoguj', 'ahmedabad_info', 'ps_hfwd_guj', 'ddoahmedabad1']",[],"['https://pbs.twimg.com/media/EcjgXjqX0AAtwhj.jpg', 'https://pbs.twimg.com/media/EcjguE3X0AAfHF9.jpg']",0,0,0,[],[],https://twitter.com/SDMViramgam/status/1281521570113114112,False,,0,,,,,,,"[{'user_id': '887342972928270336', 'username': 'SDMViramgam'}, {'user_id': '855017532109058048', 'username': 'CollectorAhd'}, {'user_id': '1143775456497262592', 'username': 'AhmedabadRac'}, {'user_id': '1945894908', 'username': 'pkumarias'}, {'user_id': '765535468104585217', 'username': 'CMOGuj'}, {'user_id': '725997193547636736', 'username': 'ahmedabad_info'}, {'user_id': '961562679117795329', 'username': 'PS_HFWD_GUJ'}, {'user_id': '950680298680807424', 'username': 'DDOAHMEDABAD1'}]",,,,
1281521558419378177,1281521558419378177,1594373523000,2020-07-10,15:02:03,+0530,1137786638212509697,remote_job,remote.io - Remote Jobs,,"🚨 New Remote Job Listing 📢 
            
Frontend Developer at X-Team 
            
 https://www.remote.io/job/6183/frontend-developer-at-x-team?utm_source=social&utm_medium=twitter&utm_campaign=job_alerts …
#remotejobs #remotework #workfomehome #jobs #covid19",[],['https://www.remote.io/job/6183/frontend-developer-at-x-team?utm_source=social&utm_medium=twitter&utm_campaign=job_alerts'],[],0,0,0,"['#remotejobs', '#remotework', '#workfomehome', '#jobs', '#covid19']",[],https://twitter.com/remote_job/status/1281521558419378177,False,,0,,,,,,,"[{'user_id': '1137786638212509697', 'username': 'remote_job'}]",,,,
1281521558125776896,1281520383301230592,1594373523000,2020-07-10,15:02:03,+0530,2306070880,jeremia_mogapi,JeremiaH Mogapi,,Moments before you arrived I was waiting like this.... this was before we wore masks daily cause of COVID19. I wore this mask I was there when you landed.... & I be the first to kiss you guy....  pic.twitter.com/fTgCQY6qn4,[],[],['https://pbs.twimg.com/media/EcjhDzJWsAAtMTg.jpg'],0,0,0,[],[],https://twitter.com/Jeremia_Mogapi/status/1281521558125776896,False,,0,,,,,,,"[{'user_id': '2306070880', 'username': 'Jeremia_Mogapi'}]",,,,
1281521557463093253,1281495381826768898,1594373523000,2020-07-10,15:02:03,+0530,49161418,debbievincent,Debbie Casey 🌍🧻,,"Nicola - you've got your independence from showing leadership day in & day out on COVID-19 & being present every day.  
From a random in England who didn't get it before.  I'll be cheering you on this time.","['bbcscotlandnews', 'nicolasturgeon', 'bbcbreakfast']",[],[],0,0,0,[],[],https://twitter.com/DebbieVincent/status/1281521557463093253,False,,0,,,,,,,"[{'user_id': '49161418', 'username': 'DebbieVincent'}, {'user_id': '15687507', 'username': 'BBCScotlandNews'}, {'user_id': '160952087', 'username': 'NicolaSturgeon'}, {'user_id': '143415291', 'username': 'BBCBreakfast'}]",,,,
1281521556431278080,1281521556431278080,1594373523000,2020-07-10,15:02:03,+0530,1207427631693611009,tricklefsen,"Trish Ricklefsen, Realtor®️ and Broker 🇺🇸",,"See A3 (pg 4 of 10) for the process for diagnosing CoVid19. If you are within 6’ (for 10-30 minutes) of a positive, you are deemed positive. This is deceptive and is only done to ruin the economy.  https://cdn.ymaws.com/www.cste.org/resource/resmgr/2020ps/Interim-20-ID-01_COVID-19.pdf …",[],['https://cdn.ymaws.com/www.cste.org/resource/resmgr/2020ps/Interim-20-ID-01_COVID-19.pdf'],[],0,0,0,[],[],https://twitter.com/TRicklefsen/status/1281521556431278080,False,,0,,,,,,,"[{'user_id': '1207427631693611009', 'username': 'TRicklefsen'}]",,,,
